City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,saint-joseph,-21.3667,55.6167,24.21,83,9,3.94,RE,1670100375
1,port elizabeth,-33.918,25.5701,17.83,91,100,1.79,ZA,1670100376
2,ewa beach,21.3156,-158.0072,26.97,67,75,5.14,US,1670100376
3,coihueco,-36.6167,-71.8333,27.41,42,40,6.17,CL,1670100335
4,motegi,36.5167,140.1833,0.48,78,35,1.41,JP,1670100377
5,kodiak,57.79,-152.4072,-4.27,80,0,2.06,US,1670100378
6,vaini,-21.2,-175.2,29.09,84,75,3.09,TO,1670100379
7,port macquarie,-31.4333,152.9167,16.61,78,97,0.74,AU,1670100379
8,avarua,-21.2078,-159.775,29.03,79,75,4.63,CK,1670100380
9,ancud,-41.8697,-73.8203,14.2,79,84,4.94,CL,1670100380
10,cherskiy,68.75,161.3,-18.83,85,100,2.16,RU,1670100381
11,atuona,-9.8,-139.0333,25.58,75,0,7.54,PF,1670100381
12,carnarvon,-24.8667,113.6333,20.8,82,5,7.55,AU,1670100382
13,saint-augustin,51.226,-58.6502,0.68,84,100,8.34,CA,1670100382
14,brandenburg,52.4167,12.55,1.06,91,100,2.92,DE,1670100383
15,rikitea,-23.1203,-134.9692,23.6,73,45,6.08,PF,1670100383
16,punta arenas,-53.15,-70.9167,11.06,40,20,15.95,CL,1670100384
17,shelby,35.2001,-89.8668,13.94,54,0,5.66,US,1670100224
18,lompoc,34.6391,-120.4579,18.3,93,100,5.14,US,1670100384
19,east london,-33.0153,27.9116,18.69,77,100,1.91,ZA,1670100385
20,banepa,27.6298,85.5214,8.18,93,20,1.54,NP,1670100386
21,cape town,-33.9258,18.4232,17.37,69,20,9.77,ZA,1670100102
22,bluff,-46.6,168.3333,14.01,75,99,13.2,NZ,1670100323
23,champerico,14.3,-91.9167,33.3,68,2,2.52,GT,1670100386
24,hobart,-42.8794,147.3294,15.14,83,75,2.57,AU,1670100319
25,kaeo,-35.1,173.7833,19.25,58,0,0.72,NZ,1670100387
26,mataura,-46.1927,168.8643,15.25,54,99,4.2,NZ,1670100387
27,srednekolymsk,67.45,153.6833,-39.68,100,37,0.83,RU,1670100388
28,dawlatabad,36.4141,64.9053,3.68,44,100,1.7,AF,1670100389
29,praia,14.9215,-23.5087,23.3,56,75,3.6,CV,1670100389
30,provideniya,64.3833,-173.3,-2.38,94,100,9.03,RU,1670100389
31,ilulissat,69.2167,-51.1,-1.99,93,75,6.17,GL,1670100390
32,namibe,-15.1961,12.1522,22.55,79,99,3.81,AO,1670100390
33,hilo,19.7297,-155.09,27.38,83,100,4.12,US,1670100093
34,gwembe,-16.4975,27.6069,21.55,30,0,0.41,ZM,1670100391
35,do gonbadan,30.3586,50.7981,15.05,58,40,1.03,IR,1670100391
36,veraval,20.9,70.3667,22.86,55,5,3.24,IN,1670100392
37,formosa do rio preto,-11.0483,-45.1931,21.5,95,100,1.61,BR,1670100392
38,santa maria,-29.6842,-53.8069,28.61,65,40,1.54,BR,1670100175
39,onega,63.9061,38.1404,-7.41,86,99,4.17,RU,1670100393
40,flinders,-34.5833,150.8552,19.1,73,0,2.71,AU,1670100394
41,kapaa,22.0752,-159.319,27.18,76,100,7.2,US,1670100394
42,new norfolk,-42.7826,147.0587,14.95,60,99,0.31,AU,1670100394
43,isangel,-19.55,169.2667,27.06,89,100,2.06,VU,1670100395
44,kaitangata,-46.2817,169.8464,16.25,49,100,5.78,NZ,1670100395
45,bubaque,11.2833,-15.8333,26.23,61,70,4.33,GW,1670100396
46,hermanus,-34.4187,19.2345,14.89,66,76,3.33,ZA,1670100396
47,general roca,-39.0333,-67.5833,33.12,27,7,13.2,AR,1670100457
48,caravelas,-17.7125,-39.2481,22.98,92,100,3.27,BR,1670100457
49,bredasdorp,-34.5322,20.0403,13.98,63,91,0.93,ZA,1670100458
50,taltal,-25.4,-70.4833,20.18,65,23,3.29,CL,1670100458
51,pacific grove,36.6177,-121.9166,12.44,95,100,1.54,US,1670100459
52,castro,-24.7911,-50.0119,21.15,89,100,1.98,BR,1670100459
53,san patricio,28.017,-97.5169,25.97,81,100,3.31,US,1670100460
54,lahij,13.1667,44.5833,21.48,81,0,1.59,YE,1670100460
55,yaan,7.3833,8.5667,27.2,27,0,1.83,NG,1670100461
56,baracoa,20.3467,-74.4958,25.4,79,44,7.08,CU,1670100461
57,barrow,71.2906,-156.7887,-7.99,67,40,2.06,US,1670100462
58,ushuaia,-54.8,-68.3,8.79,61,75,10.8,AR,1670100462
59,thompson,55.7435,-97.8558,-23.91,70,20,3.09,CA,1670100462
60,port alfred,-33.5906,26.891,16.77,91,99,0.45,ZA,1670100463
61,bengkulu,-3.8004,102.2655,23.28,91,98,1.72,ID,1670100464
62,upington,-28.4478,21.2561,22.21,18,0,1.03,ZA,1670100464
63,cidreira,-30.1811,-50.2056,23.51,90,100,3.14,BR,1670100464
64,geraldton,-28.7667,114.6,21.23,78,100,3.6,AU,1670100465
65,bethel,41.3712,-73.414,13.69,84,100,0.89,US,1670100313
66,abu kamal,34.4506,40.9171,15.21,67,100,3.0,SY,1670100465
67,yarovoye,52.9273,78.58,-21.95,99,81,1.59,RU,1670100466
68,coihaique,-45.5752,-72.0662,15.97,48,75,4.63,CL,1670100467
69,bukama,-9.2,25.85,20.58,93,98,0.84,CD,1670100467
70,forio,40.7342,13.8646,18.01,78,100,10.28,IT,1670100468
71,waterboro,43.5356,-70.7151,13.05,86,100,6.69,US,1670100468
72,bozhou,33.8772,115.7703,1.96,58,93,3.41,CN,1670100469
73,jamestown,42.097,-79.2353,3.9,66,100,7.72,US,1670100368
74,sikasso,10.9167,-7.0,26.37,62,98,2.38,ML,1670100469
75,socorro,31.6546,-106.3033,19.56,35,75,3.09,US,1670100470
76,arraial do cabo,-22.9661,-42.0278,22.98,88,75,8.75,BR,1670100470
77,okakarara,-20.5833,17.4333,27.66,23,84,2.95,NA,1670100471
78,chokurdakh,70.6333,147.9167,-24.47,95,100,7.56,RU,1670100471
79,victoria,22.2855,114.1577,21.64,84,32,4.47,HK,1670100175
80,chiang klang,19.2938,100.8617,20.57,92,12,0.71,TH,1670100472
81,saint george,37.1041,-113.5841,15.8,37,0,1.34,US,1670100472
82,ixtapa,20.7,-105.2,31.44,49,74,3.1,MX,1670100473
83,ponta do sol,32.6667,-17.1,16.51,77,50,4.15,PT,1670100473
84,albany,42.6001,-73.9662,12.19,89,100,0.45,US,1670100314
85,mar del plata,-38.0023,-57.5575,27.68,69,0,7.2,AR,1670100474
86,barmer,25.75,71.3833,15.67,27,28,1.86,IN,1670100475
87,mecca,21.4267,39.8261,25.26,69,27,2.08,SA,1670100475
88,somerset east,-32.7217,25.588,12.82,82,99,4.73,ZA,1670100476
89,matara,5.9485,80.5353,24.12,89,93,1.68,LK,1670100388
90,dunedin,-45.8742,170.5036,17.11,64,100,4.7,NZ,1670100536
91,laguna,38.421,-121.4238,12.76,94,100,3.6,US,1670100537
92,canmore,51.0834,-115.3521,-3.94,58,22,5.14,CA,1670100303
93,busselton,-33.65,115.3333,16.13,74,96,6.33,AU,1670100504
94,cabedelo,-6.9811,-34.8339,28.37,74,13,5.92,BR,1670100537
95,menongue,-14.6585,17.691,23.12,43,73,1.75,AO,1670100538
96,atikokan,48.7555,-91.6216,-13.66,75,100,4.65,CA,1670100538
97,puerto baquerizo moreno,-0.9,-89.6,23.55,88,75,3.6,EC,1670100539
98,saskylakh,71.9167,114.0833,-13.48,93,100,11.04,RU,1670100539
99,sorong,-0.8833,131.25,25.72,86,100,3.08,ID,1670100540
100,butaritari,3.0707,172.7902,27.3,77,32,7.33,KI,1670100540
101,arlit,18.7369,7.3853,25.39,14,7,2.83,NE,1670100541
102,urusha,54.05,122.9,-26.54,94,100,1.07,RU,1670100541
103,nancha,47.1333,129.2667,-21.67,94,80,1.6,CN,1670100542
104,williamsport,41.2412,-77.0011,10.85,89,75,1.54,US,1670100457
105,potiskum,11.7091,11.0694,25.32,24,43,4.35,NG,1670100542
106,tikapur,28.5,81.1333,14.13,77,0,1.6,NP,1670100543
107,dikson,73.5069,80.5464,-2.53,92,100,8.4,RU,1670100543
108,narbonne,43.0833,2.8333,8.13,70,100,1.87,FR,1670100544
109,severo-kurilsk,50.6789,156.125,-0.37,82,78,7.25,RU,1670100544
110,dimbokro,6.6451,-4.7048,23.31,94,84,1.64,CI,1670100545
111,saint-philippe,-21.3585,55.7679,24.77,85,12,3.54,RE,1670100545
112,torbay,47.6666,-52.7314,-0.14,75,75,2.24,CA,1670100546
113,vanimo,-2.6741,141.3028,24.9,89,100,2.87,PG,1670100546
114,khilok,51.3674,110.4676,-17.61,91,100,5.59,RU,1670100547
115,la ronge,55.1001,-105.2842,-16.86,71,75,3.09,CA,1670100547
116,clyde river,70.4692,-68.5914,-16.87,66,35,8.75,CA,1670100547
117,braniewo,54.3797,19.8196,-0.88,93,99,3.81,PL,1670100548
118,sorland,67.667,12.6934,3.92,71,100,6.52,NO,1670100549
119,zharkent,44.1628,80.0,-4.47,64,98,0.91,KZ,1670100549
120,varzea da palma,-17.5981,-44.7308,22.13,87,100,0.87,BR,1670100550
121,khatanga,71.9667,102.5,-15.2,95,100,10.3,RU,1670100550
122,faanui,-16.4833,-151.75,26.78,77,38,8.16,PF,1670100551
123,yulara,-25.2406,130.9889,24.6,17,0,3.09,AU,1670100551
124,belyy yar,53.6039,91.3903,-27.06,83,100,0.0,RU,1670100552
125,bath,51.3779,-2.3591,6.32,92,40,4.77,GB,1670100552
126,tasiilaq,65.6145,-37.6368,-0.91,97,100,11.18,GL,1670100553
127,sitka,57.0531,-135.33,1.94,69,0,0.0,US,1670100360
128,aginskoye,51.1,114.53,-17.56,81,36,7.81,RU,1670100553
129,half moon bay,37.4636,-122.4286,11.36,94,100,3.09,US,1670100431
